from,to,from_station,to_station,total_trips,distance,orig_pop,dest_jobs
238,188,Alperton,Hillingdon,21,12743.69633,3084,1672
238,245,Alperton,Holloway Road,3,20984.63414,3084,5186
238,123,Alperton,Hornchurch,0,41353.60004,3084,2514
238,16,Alperton,Kensal Green,0,19313.03766,3084,1412
238,216,Alperton,Kentish Town,0,20310.83006,3084,8068
238,168,Alperton,Kilburn,0,18841.72447,3084,6737
238,19,Alperton,Kilburn Park,0,17087.86866,3084,2584
238,169,Alperton,Kingsbury,0,15653.44241,3084,4853
238,148,Alperton,Ladbroke Grove,0,11863.5083,3084,5084
238,65,Alperton,Leytonstone,0,29342.57641,3084,8584
238,36,Alperton,Loughton,0,38145.42461,3084,3474
238,20,Alperton,Maida Vale,0,16269.42167,3084,2630
238,265,Alperton,Manor House,0,23522.53864,3084,5729
238,1,Alperton,Marylebone,0,15644.30517,3084,12652
238,32,Alperton,Mile End,0,23325.58039,3084,11650
238,178,Alperton,Moor Park,0,18114.83477,3084,1022
238,235,Alperton,Morden,0,27749.84889,3084,8498
238,30,Alperton,Newbury Park,0,35340.73087,3084,4723
238,186,Alperton,North Harrow,0,10736.88911,3084,1833
238,185,Alperton,Northwick Park,0,10106.2614,3084,4185
238,194,Alperton,Northwood Hills,0,14433.56742,3084,1872
238,197,Alperton,Old Street,0,20442.1445,3084,25770
238,234,Alperton,Oval,0,19255.55404,3084,6055
238,195,Alperton,Pinner,12,12263.73505,3084,3415
238,132,Alperton,Plaistow,0,27019.67016,3084,4858
238,193,Alperton,Preston Road,0,11852.53321,3084,3074
238,121,Alperton,Putney Bridge,0,13799.56122,3084,5113
238,160,Alperton,Queensbury,0,16841.29564,3084,4909
238,17,Alperton,Queen's Park,0,17845.47224,3084,3837
238,182,Alperton,Ruislip Manor,8,9259.167348,3084,1987
238,274,Alperton,Seven Sisters,0,25415.11976,3084,28290
238,243,Alperton,Southgate,0,31101.56823,3084,4660
238,223,Alperton,South Wimbledon,0,26267.4713,3084,4109
238,72,Alperton,South Woodford,0,32291.02639,3084,5156
238,161,Alperton,Stanmore,0,19874.82513,3084,3585
238,66,Alperton,Stratford,36,26064.48773,3084,67796
